lat;lon;ip;nome;id_ip
-8.0808198;-34.89115;'192.168.10.119';'APOS PONTE AGAMENON MAGALHAES, CABANGA - DERBY';'10.119'
-8.0395243;-34.95764;'192.168.10.124';'AV. AFONSO OLINDENSE, N. 996 - CAXANGA';'10.124'
-8.062957;-34.871137;'192.168.11.210';'AV. ALFREDO LISBOA - MARCO ZERO';'11.210'
-8.0637868;-34.87163;'192.168.10.114';'AV. ALFREDO LISBOA, ENTRE OS N. 33 E 18';'10.114'
-8.027893;-34.892928;'192.168.11.120';'AV. BEBERIBE x AV. PROF. JOSE DOS ANJOS - AMBOS';'11.120'
-8.0117133;-34.889407;'192.168.10.126';'Av. Beberibe, Sentido Centro  - Centro';'10.126'
-8.0129248;-34.8894324;'192.168.10.125';'Av. Beberibe, Sentido Subúrbio  - Suburbio';'10.125'
-8.1078431;-34.88816;'192.168.10.106';'AV. BOA VIAGEM - TERCEIRO JARDIM ';'10.106'
-8.1410665;-34.90327;'192.168.10.121';'AV. BOA VIAGEM EM FRENTE PARQUE DONA LINDU';'10.121'
-8.030042;-34.957830;'172.10.2.190';'AV. CAXANGA X RIBEIRO PESSOA - PROX. A UPA';'2.190'
-8.0611412;-34.883294;'192.168.11.109';'AV. CDE. DA BOA VISTA X RUA SETEMBRO';'11.109'
-8.0989628;-34.89029;'192.168.10.115';'AV. CELSO FURTADO KM 1,5 - CENTRO';'10.115'
-8.1053608;-34.89187;'192.168.10.102';'AV. CELSO FURTADO KM 2,4 - SUBURBIO';'10.102'
-8.1057941;-34.89209;'192.168.10.103';'AV. CELSO FURTADO KM 2,5 - CENTRO';'10.103'
-8.061165;-34.8832943;'192.168.11.180';'Av. Conde Da Boa Vista  X Sete de Setembro - Senti';'11.180'
-8.0574874;-34.890126;'172.10.2.165';'AV. CONDE DA BOA VISTA x RUA DA SOLEDADE';'2.165'
-8.060829;-34.884027;'172.10.2.166';'AV. CONDE DA BOA VISTA x RUA DO HOSPICIO';'2.166'
-8.059477;-34.886502;'192.168.11.221';'Av. Conde da Boa Vista, em frente ao shopping Boa  - Centro';'11.221'
-8.1012143;-34.886865;'172.10.2.172';'AV. CONS. AGUIAR, N 1350 CONJUNTO PERNAMBUCANO - PINA';'2.172'
-8.127873;-34.900242;'192.168.10.105';'AV. CONS. AGUIAR, N. 4620';'10.105'
-8.04207;-34.89787;'192.168.11.207';'Av. Conselheiro Rosa e Silva - Em Frente ao Clube';'11.207'
-8.1215132;-34.909342;'192.168.11.125';'Av. Des. José Neves - Sent. Centro - Centro';'11.125'
-8.1214297;-34.909838;'192.168.11.126';'Av. Des. José Neves - Sent. Subúrbio - Piedade';'11.126'
-8.1106984;-34.93708;'172.10.2.174';'AV. DOIS RIOS';'2.174'
-8.1157038;-34.90430;'192.168.10.104';'AV. DOM JOAO VI, EM FRT. AO PT. DE ONIBUS N. 01024';'10.104'
-8.1163615;-34.9043619;'192.168.10.128';'Av. Dom João VI, Sentido Centro - Centro';'10.128'
-8.0930451;-34.943144;'172.10.2.179';'AV. DR. JOSE RUFINO';'2.179'
-8.0848028;-34.9284296;'192.168.11.133';'Av. Dr. José Rufino - Sentido Av. Recife - Colég - AV.RECIFE';'11.133'
-8.088472;-34.883685;'172.10.2.191';'AV. ENG ANTONIO DE GOES - CENTRO';'2.191'
-8.0639871;-34.93577;'192.168.11.107';'AV. ENG. ABDIAS DE CARVALHO - SENT. BR-232';'11.107'
-8.0641027;-34.936045;'192.168.11.108';'AV. ENG. ABDIAS DE CARVALHO - SENT. CENTRO';'11.108'
-8.0992523;-34.890427;'192.168.11.202';'Av. Eng. Abdias de Carvalho X Av. Gen. San Martin';'11.202'
-8.0623957;-34.917007;'192.168.11.121';'AV. ENG. ABDIAS DE CARVALHO, FACULDADE ESTACIO - SENT. BR-232';'11.121'
-8.0624755;-34.9175088;'192.168.10.127';'Av. Eng. Abdias de Carvalho, Sentido Centro  - Centro';'10.127'
-8.0854460;-34.886623;'172.10.2.181';'AV. ENG. ANTONIO DE GOES - CENTRO';'2.181'
-8.0883266;-34.88377;'192.168.10.107';'AV. ENG. ANTONIO DE GOES, N. 124';'10.107'
-8.105091;-34.889649;'192.168.11.106';'AV. ENG. DOMINGO FERREIRA X RUA DR. GILSON MACHADO - SENT. PIEDADE';'11.106'
-8.121498;-34.899109;'192.168.11.105';'AV. ENG. DOMINGOS FERREIRA X RUA BRUNO VELOSO - SENT. PIEDADE';'11.105'
-8.0758569;-34.88745;'192.168.10.118';'AV. ENG. JOSÉ ESTELITA - ENTRE PTS. DE ILUM. 19 - CENTRO';'10.118'
-8.0674689;-34.92781;'192.168.10.122';'AV. GENERAL SAN MARTIN, N. 1864 - AV. RECIFE';'10.122'
-8.0431659;-34.88586;'192.168.10.120';'AV. GOV. AGAMENON MAGALHAES EM FRENTE REITO - OLINDA';'10.120'
-8.0415844;-34.88331;'192.168.10.112';'AV. GOV. AGAMENON MAGALHAES PROX. VIADUTO P - DERBY';'10.112'
-8.0626215;-34.897370;'192.168.11.110';'AV. GOV. AGAMENON MAGALHAES X GAL. JOAQUIM INACIO - SENT. OLINDA';'11.110'
-8.0517412;-34.895065;'192.168.11.112';'AV. GOV. AGAMENON MAGALHAES X RUA BANDEIRA FILHO - SENT. OLINDA';'11.112'
-8.0621498;-34.897761;'192.168.11.137';'AV. GOV. AGAMENON MAGALHAES X RUA DO PAISSANDU - SENT. BOA VIAGEM';'11.137'
-8.0489105;-34.892893;'172.10.2.184';'AV. GOV. AGAMENON MAGALHAES X RUA LEOPOLDO LINS - SENT. OLINDA';'2.184'
-8.056670;-34.897600;'192.168.11.185';'Av. Gov. Agamenon Magalhães, sem 075, sentido Oli - Olinda';'11.185'
-8.051585;-34.894936;'192.168.11.182';'Av. Gov. Agamenon Magalhães, sem 173, sentido Esp - Espinheiro';'11.182'
-8.089223;-34.884837;'192.168.11.104';'AV. HERCULANO BANDEIRA (EM FRENTE À IGREJA DO PIN - Sentido suburbio';'11.104'
-8.1276998;-34.915560;'192.168.11.115';'AV. MAL. MASCARENHAS DE MORAES - SENT. AEROPORTO';'11.115'
-8.1309702;-34.91616;'192.168.10.110';'AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORT - SENT. PRAZERES';'10.110'
-8.1306469;-34.91588;'192.168.10.109';'AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORT - SENT. CENTRO';'10.109'
-8.1106138;-34.912383;'192.168.21.164';'AV. MARECHAL MASCARENHAS DE MORAES, ENTRE OS Nº 2 - Sub�rbio';'21.164'
-8.063066;-34.873338;'192.168.11.103';'AV. MARQUES DE OLINDA X RUA MADRE DE DEUS - SENT. PTE. CDE. M. DE NASSAU';'11.103'
-8.0391921;-34.92983;'192.168.10.123';'AV. MAURICIO DE NASSAU ENTRONCAMENTO 1a. TRV. SANT - CENTRO';'10.123'
-8.0475238;-34.877087;'172.10.2.157';'AV. NORTE X AV. CRUZ CABUGA';'2.157'
-8.0384764;-34.892253;'172.10.2.176';'AV. NORTE X AV. JOAO DE BARROS';'2.176'
-8.0262575;-34.905298;'192.168.11.211';'AV. NORTE X AV. PROF. JOSE DOS ANJOS';'11.211'
-8.1002736;-34.928113;'192.168.11.116';'AV. RECIFE (EM FRENTE AO PAN DE AREIAS)  - SENT. AEROPORTO';'11.116'
-8.0940062;-34.928964;'192.168.11.219';'Av. Recife Sem. 059';'11.219'
-8.1068491;-34.927318;'172.10.2.180';'AV. RECIFE x ENTRADA DO IBURA - BR 101';'2.180'
-8.087489;-34.891267;'172.10.2.201';'AV. REPUBLICA DO LIBANO ,N 115 - Pina';'2.201'
-8.0873199;-34.89125;'192.168.10.101';'AV. REPUBLICA DO LIBANO, N. 115 - PINA - SENT. SUBURBIO';'10.101'
-8.0411575;-34.90334;'192.168.10.113';'AV. RUI BARBOSA, N. 1397';'10.113'
-8.1100249;-34.899792;'192.168.11.204';'Av. São Paulo (Três Carneiros)';'11.204'
-8.1026878;-34.885781;'192.168.11.222';'Av. São Paulo x R. Leandro Barreto - Sem.507';'11.222'
-8.0795908;-34.89279;'192.168.10.108';'AV. SATURNINO DE BRITO - PROX. A COMPESA - SUBURBIO';'10.108'
-8.0768012;-34.894778;'172.10.2.160';'AV. SUL - SEMÁFORO 205';'2.160'
-8.1048624;-34.891396;'192.168.11.203';'Av. Ver. Otacílio Azevedo X Nova Descoberta';'11.203'
-8.054685;-34.872083;'172.10.2.197';'CAIS DO APOLO - SENT. CENTRO';'2.197'
-8.0717339;-34.87790;'192.168.10.111';'CAIS SANTA RITA, PROX. Â AO N. 675 - CENTRO';'10.111'
-8.0105487;-34.903086;'192.168.11.217';'COMPAZ - ALTO SANTA TEREZINHA';'11.217'
-8.061970;-34.881604;'192.168.11.213';'Conde da Boa Vista x rua da Aurora - Centro';'11.213'
-8.0801208;-34.89218;'192.168.10.100';'DEFRONTE A PCA. GOV. PAULO GUERRA, CABANGA - PINA';'10.100'
-8.0846388;-34.928036;'192.168.11.187';'Dr. José Rufino - Colégio Visão - Sentido Centr - Centro';'11.187'
-8.064596;-34.896576;'192.168.11.215';'EMPRESARIAL CHARLES DARWIN - RIOAVE 1';'11.215'
-8.064796;-34.896576;'192.168.11.216';'EMPRESARIAL CHARLES DARWIN - RIOAVE 2';'11.216'
-8.086845;-34.891703;'192.168.11.212';'EMPRESARIAL TRADE CENTER RIOMAR';'11.212'
-8.0656198;-34.908081;'172.10.2.162';'ESTRADA DOS REMEDIOS X RUA TABAIARES';'2.162'
-8.078776;-34.892022;'172.10.2.164';'LARGO DO CABANGA';'2.164'
-8.056706;-34.897831;'192.168.11.119';'PONTE DELMIRO GOUVEIA - SENT. BOA VISTA';'11.119'
-8.056774;-34.899667;'192.168.11.118';'Praça do Derby, Semáforo 516 - SENT. CENTRO';'11.118'
-8.0543668;-34.871965;'192.168.11.209';'PREFEITURA DO RECIFE';'11.209'
-8.1233064;-34.901305;'192.168.11.206';'Rua  Ribeiro de Brito x Rua Prof. João Medeiros';'11.206'
-8.08366;-34.8804;'192.168.11.205';'Rua Arabaiana X Rua Espadarte (Brasília Teimosa)';'11.205'
-8.0874203;-34.90993;'192.168.10.116';'RUA ARQ. LUIZ NUNES CRUZAMENTO RUA DEOLINDO TAVARE - SUBURBIO';'10.116'
-8.0328224;-34.903116;'192.168.10.129';'Rua Conego Barata, Sentido Centro - Centro';'10.129'
-8.1218145;-34.909348;'192.168.11.213';'Rua da Aurora x Av. Cde. Da Boa Vista';'11.213'
-8.0802928;-34.9066083;'192.168.11.218';'Rua do Acre';'11.218'
-8.13502;-34.95107;'192.168.11.208';'Rua Expedicionário Francisco Vitoriano (COHAB)';'11.208'
-8.0520592;-34.902115;'192.168.11.124';'RUA GUILHERME PINTO - SENT. CENTRO';'11.124'
-8.0535046;-34.908555;'172.10.2.189';'RUA JOSÉ OSÓRIO X RUA REAL DA TORRE';'2.189'
-8.0535;-34.90855;'192.168.11.200';'Rua José Osório X Rua Real da Torre';'11.200'
-8.0633917;-34.873680;'192.168.11.102';'RUA MADRE DE DEUS X AV. MARQUES DE OLINDA - SENT. CAIS SANTA RITA';'11.102'
-8.1029992;-34.91313;'192.168.10.117';'RUA PARIS, PRÓXIMO A PARADA DE ÔNIBUS N.0204';'10.117'
-8.0553879;-34.909061;'192.168.11.122';'RUA REAL DA TORRE - SENT. MADALENA';'11.122'
-8.1306039;-34.902587;'172.10.2.159';'RUA VISCONDE DE JEQUITINHONHA';'2.159'
-8.115218;-34.900600;'192.168.11.111';'RUA. PROF. ARNALDO CARNEIRO LEAO - SENTIDO BOA VIAGEM';'11.111'
-8.08537;-34.89141;'192.168.11.201';'Via Mangue - Ponte próx. Rio Mar';'11.201'
